sample_id,local_sample_id,batch_start,batch_end,batch_name,sample_id_mode,sample_id_warning,file,file_path,relative_path,parent_dir,suffix,sample_slot,well_start,well_end,sample_layout
59,30,1,1600,结果1-1600,two_per_file,,检测结果 (30).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (30).csv,结果汇总\结果1-1600\10-99\检测结果 (30).csv,10-99,.csv,1,1,15,two_per_file_15x2
60,30,1,1600,结果1-1600,two_per_file,,检测结果 (30).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (30).csv,结果汇总\结果1-1600\10-99\检测结果 (30).csv,10-99,.csv,2,16,30,two_per_file_15x2
61,31,1,1600,结果1-1600,two_per_file,,检测结果 (31).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (31).csv,结果汇总\结果1-1600\10-99\检测结果 (31).csv,10-99,.csv,1,1,15,two_per_file_15x2
62,31,1,1600,结果1-1600,two_per_file,,检测结果 (31).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (31).csv,结果汇总\结果1-1600\10-99\检测结果 (31).csv,10-99,.csv,2,16,30,two_per_file_15x2
63,32,1,1600,结果1-1600,two_per_file,,检测结果 (32).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (32).csv,结果汇总\结果1-1600\10-99\检测结果 (32).csv,10-99,.csv,1,1,15,two_per_file_15x2
64,32,1,1600,结果1-1600,two_per_file,,检测结果 (32).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (32).csv,结果汇总\结果1-1600\10-99\检测结果 (32).csv,10-99,.csv,2,16,30,two_per_file_15x2
65,33,1,1600,结果1-1600,two_per_file,,检测结果 (33).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (33).csv,结果汇总\结果1-1600\10-99\检测结果 (33).csv,10-99,.csv,1,1,15,two_per_file_15x2
66,33,1,1600,结果1-1600,two_per_file,,检测结果 (33).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (33).csv,结果汇总\结果1-1600\10-99\检测结果 (33).csv,10-99,.csv,2,16,30,two_per_file_15x2
67,34,1,1600,结果1-1600,two_per_file,,检测结果 (34).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (34).csv,结果汇总\结果1-1600\10-99\检测结果 (34).csv,10-99,.csv,1,1,15,two_per_file_15x2
68,34,1,1600,结果1-1600,two_per_file,,检测结果 (34).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (34).csv,结果汇总\结果1-1600\10-99\检测结果 (34).csv,10-99,.csv,2,16,30,two_per_file_15x2
69,35,1,1600,结果1-1600,two_per_file,,检测结果 (35).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (35).csv,结果汇总\结果1-1600\10-99\检测结果 (35).csv,10-99,.csv,1,1,15,two_per_file_15x2
70,35,1,1600,结果1-1600,two_per_file,,检测结果 (35).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (35).csv,结果汇总\结果1-1600\10-99\检测结果 (35).csv,10-99,.csv,2,16,30,two_per_file_15x2
71,36,1,1600,结果1-1600,two_per_file,,检测结果 (36).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (36).csv,结果汇总\结果1-1600\10-99\检测结果 (36).csv,10-99,.csv,1,1,15,two_per_file_15x2
72,36,1,1600,结果1-1600,two_per_file,,检测结果 (36).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (36).csv,结果汇总\结果1-1600\10-99\检测结果 (36).csv,10-99,.csv,2,16,30,two_per_file_15x2
73,37,1,1600,结果1-1600,two_per_file,,检测结果 (37).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (37).csv,结果汇总\结果1-1600\10-99\检测结果 (37).csv,10-99,.csv,1,1,15,two_per_file_15x2
74,37,1,1600,结果1-1600,two_per_file,,检测结果 (37).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (37).csv,结果汇总\结果1-1600\10-99\检测结果 (37).csv,10-99,.csv,2,16,30,two_per_file_15x2
75,38,1,1600,结果1-1600,two_per_file,,检测结果 (38).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (38).csv,结果汇总\结果1-1600\10-99\检测结果 (38).csv,10-99,.csv,1,1,15,two_per_file_15x2
76,38,1,1600,结果1-1600,two_per_file,,检测结果 (38).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (38).csv,结果汇总\结果1-1600\10-99\检测结果 (38).csv,10-99,.csv,2,16,30,two_per_file_15x2
